name,time,times
testSetAndGetItem,130.8,1000
testSetAndGetItem,354,2500
testSetAndGetItem,899.5,5000
testSetAndGetItem,2109.9,10000
testSetAndGetItem,4610.4,25000
testSetAndGetItem,9660.4,50000
